RULENAME,ALIAS,SOURCEA,SOURCEB
AR_01,AR_01 AR Balance Validation,VIDS_AR_01,
AR_02,AR_02 TMO AR Bal to GL,VIDS_AR_02,
AR_03,AR_03 SPR AR Bal to GL,VIDS_AR_03,
BL_01,BL_01 Bill Miss in TMO,VIDS_SPR_BILL,VIDS_TMO_BILL
BL_02,BL_02 Bill Miss in SPR,VIDS_TMO_BILL,VIDS_SPR_BILL
BL_03,BL_03 Bill Mism Attr,VIDS_MISM_ATTR_BILL,
BL_04,BL_04 Bill Sub Miss in TMO,VIDS_SPR_BILL_SUBSCRIBER,VIDS_TMO_BILL_SUBSCRIBER
BL_05,BL_05 Bill Subscriber Miss SPR,VIDS_TMO_BILL_SUBSCRIBER,VIDS_SPR_BILL_SUBSCRIBER
BL_06,BL_06 Bill Subscriber Mism Att,VIDS_MISM_ATTR_BILL_SUBSCRIBER,
BL_07,BL_07 Payment Miss in TMO,VIDS_SPR_PAYMENT,VIDS_TMO_PAYMENT
BL_08,BL_08 Payment Miss in SPR,VIDS_TMO_PAYMENT,VIDS_SPR_PAYMENT
BL_09,BL_09 Payment Mism Attr,VIDS_MISM_ATTR_PAYMENT,
BL_10,BL_10 Payment Actv Miss in TMO,VIDS_SPR_PAYMENT_ACTIVITY,VIDS_TMO_PAYMENT_ACTIVITY
BL_11,BL_11 PaymentActivity Miss SPR,VIDS_TMO_PAYMENT_ACTIVITY,VIDS_SPR_PAYMENT_ACTIVITY
BL_12,BL_12 Payment Activity Mism At,VIDS_MISM_ATTR_PAYMENT_ACTIVITY,
BL_13,BL_13 Invoice Item Miss in TMO,VIDS_SPR_INVOICE_ITEM,VIDS_TMO_INVOICE_ITEM
BL_14,BL_14 Invoice Item Miss in SPR,VIDS_TMO_INVOICE_ITEM,VIDS_SPR_INVOICE_ITEM
BL_15,BL_15 Invoice Item Mism Attr,VIDS_MISM_ATTR_INVOICE_ITEM,
BL_16,BL_16 Refund Miss in TMO,VIDS_SPR_REFUND,VIDS_TMO_REFUND
BL_17,BL_17 Refund Miss in SPR,VIDS_TMO_REFUND,VIDS_SPR_REFUND
BL_18,BL_18 Refund Mism Attr,VIDS_MISM_ATTR_REFUND,
BL_19,BL_19 Charge Miss in TMO,VIDS_SPR_CHARGE,VIDS_TMO_CHARGE
BL_20,BL_20 Charge Miss in SPR,VIDS_TMO_CHARGE,VIDS_SPR_CHARGE
BL_21,BL_21 Charge Mism Attr,VIDS_MISM_ATTR_CHARGE,
BL_22,BL_22 Adjustment Miss in TMO,VIDS_SPR_ADJUSTMENT,VIDS_TMO_ADJUSTMENT
BL_23,BL_23 Adjustment Miss in SPR,VIDS_TMO_ADJUSTMENT,VIDS_SPR_ADJUSTMENT
BL_24,BL_24 Adjustment Mism Attr,VIDS_MISM_ATTR_ADJUSTMENT,
BL_25,BL_25 BAN Drct Dbt Miss in TMO,VIDS_SPR_BAN_DIRECT_DEBIT,VIDS_TMO_BAN_DIRECT_DEBIT
BL_26,BL_26 BAN Drct Dbt Miss in SPR,VIDS_TMO_BAN_DIRECT_DEBIT,VIDS_SPR_BAN_DIRECT_DEBIT
BL_27,BL_27 BAN Drct Dbt Mism Attr,VIDS_MISM_ATTR_BAN_DIRECT_DEBIT,
BL_28,BL_28 BAN Discount Miss in TMO,VIDS_SPR_BAN_DISCOUNT,VIDS_TMO_BAN_DISCOUNT
BL_29,BL_29 BAN Discount Miss in SPR,VIDS_TMO_BAN_DISCOUNT,VIDS_SPR_BAN_DISCOUNT
BL_30,BL_30 BAN Discount Mism Attr,VIDS_MISM_ATTR_BAN_DISCOUNT,
BL_31,BL_31 Direct Debit Request TMO,VIDS_SPR_DIRECT_DEBIT_REQUEST,VIDS_TMO_DIRECT_DEBIT_REQUEST
BL_32,BL_32 Direct Debit Request SPR,VIDS_TMO_DIRECT_DEBIT_REQUEST,VIDS_SPR_DIRECT_DEBIT_REQUEST
BL_33,BL_33 Drct Dbt Req Mism Attr,VIDS_MISM_ATTR_DIRECT_DEBIT_REQUEST,
BL_34,BL_34 Fee Waiver Miss in TMO,VIDS_SPR_FEE_WAIVER,VIDS_TMO_FEE_WAIVER
BL_35,BL_35 Fee Waiver Miss in SPR,VIDS_TMO_FEE_WAIVER,VIDS_SPR_FEE_WAIVER
BL_36,BL_36 Fee Waiver Mism Attr,VIDS_MISM_ATTR_FEE_WAIVER,
BL_37,BL_37 BAN List Miss in TMO,VIDS_SPR_BAN_LIST,VIDS_TMO_BAN_LIST
BL_38,BL_38 BAN List Miss in SPR,VIDS_TMO_BAN_LIST,VIDS_SPR_BAN_LIST
BL_39,BL_39 BAN List Mism Attr,VIDS_MISM_ATTR_BAN_LIST,
BL_40,BL_40 Extract Acc Miss in TMO,VIDS_SPR_EXTRACT_ACCOUNT,VIDS_TMO_EXTRACT_ACCOUNT
BL_41,BL_41 Extract Acc Miss in SPR ,VIDS_TMO_EXTRACT_ACCOUNT,VIDS_SPR_EXTRACT_ACCOUNT
BL_42,BL_42 Extract Account Mism,VIDS_MISM_ATTR_EXTRACT_ACCOUNT,
BL_50,BL_50 MAC Discount Miss in TMO,VIDS_SPR_MAC_SCHEDULE,VIDS_TMO_BAN_DISCOUNT
